GUID,Start Day and Time,End Day and Time,Header,Title,Description
1,3/13/2016 7:00,3/13/2016 7:55,Morning,Registration and Continental Breakfast,
2,3/13/2016 7:55,3/13/2016 8:00,Morning,Welcome and Orientation,"Julian N. Robinson, MD"
3,3/13/2016 8:00,3/13/2016 8:40,Obstetrics 1 - Moderator: Dr. Robinson,Pre-term Birth,"Andrea Edlow, MD"
4,3/13/2016 8:40,3/13/2016 8:50,Obstetrics 1 - Moderator: Dr. Robinson,Questions and Discussion,
5,3/13/2016 8:50,3/13/2016 9:30,Obstetrics 1 - Moderator: Dr. Robinson,Induction,"Sarah Little, MD"
6,3/13/2016 9:30,3/13/2016 9:40,Obstetrics 1 - Moderator: Dr. Robinson,Questions and Discussion,
7,3/13/2016 9:40,3/13/2016 10:00,Obstetrics 1 - Moderator: Dr. Robinson,Coffee Break,
8,3/13/2016 10:00,3/13/2016 10:40,Obstetrics 1 - Moderator: Dr. Robinson,Augmentation,"Julian N. Robinson, MD"
9,3/13/2016 10:40,3/13/2016 10:50,Obstetrics 1 - Moderator: Dr. Robinson,Questions and Discussion,
10,3/13/2016 10:50,3/13/2016 11:30,Obstetrics 1 - Moderator: Dr. Robinson,Intrapartum Care of the Obese Patient,"Errol Norwitz, MD"
11,3/13/2016 11:30,3/13/2016 11:40,Obstetrics 1 - Moderator: Dr. Robinson,Questions and Discussion,
12,3/13/2016 11:40,3/13/2016 13:00,Obstetrics 1 - Moderator: Dr. Robinson,Lunch Break,
13,3/13/2016 13:00,3/13/2016 13:40,Afternoon,Twins,"Jon Barrett, MD"
14,3/13/2016 13:40,3/13/2016 13:50,Afternoon,Questions and Discussion,
15,3/13/2016 13:50,3/13/2016 14:30,Afternoon,Hemorrhage and Resuscitation,"Michaela Farber, MD"
16,3/13/2016 14:30,3/13/2016 14:40,Afternoon,Questions and Discussion,
17,3/13/2016 14:40,3/13/2016 14:55,Afternoon,Coffee Break,
18,3/13/2016 14:55,3/13/2016 15:55,Afternoon,CLINICAL WORKSHOPS I,Add Content
19,3/13/2016 16:00,3/13/2016 17:00,Afternoon,CLINICAL WORKSHOPS II,Add Content
20,3/14/2016 7:00,3/14/2016 7:55,Morning,Breakfast,
21,3/14/2016 7:55,3/14/2016 8:00,Morning,Welcome,"Louise E. Wilkins-Haug, MD"
22,3/14/2016 8:00,3/14/2016 8:40,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Non-Invasive Screening for Down Syndrome,"Louise E. Wilkins-Haug, MD"
23,3/14/2016 8:40,3/14/2016 8:50,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Questions and Discussion,
24,3/14/2016 8:50,3/14/2016 9:30,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Managing Expectations for Expanded Genetic Carrier Screening,"Erik Alexander, MD"
25,3/14/2016 9:30,3/14/2016 9:40,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Questions and Discussion,
26,3/14/2016 9:40,3/14/2016 10:00,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Coffee Break,
27,3/14/2016 10:00,3/14/2016 10:40,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,First Trimester Ultrasound - Is its Role Changing? ,"Thomas Shipp, MD"
28,3/14/2016 10:40,3/14/2016 10:50,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Questions and Discussion,
29,3/14/2016 10:50,3/14/2016 11:30,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Fetal Growth Restriction - Recognition and Management,"Lisa Dunn-Albanese, MD"
30,3/14/2016 11:30,3/14/2016 11:40,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Questions and Discussion,
31,3/14/2016 11:40,3/14/2016 13:00,Obstetrics 2 - Moderator: Dr. Wilkins-Haug,Lunch Break,
32,3/14/2016 13:00,3/14/2016 13:40,Afternoon,"Still Birth - Risk Factors, Recurrence and Surveillance","Yael Hoffman-Sage, MD"
33,3/14/2016 13:40,3/14/2016 13:50,Afternoon,Questions and Discussion,
34,3/14/2016 13:50,3/14/2016 14:30,Afternoon,Infant of the Mother with a High BMI,"Chloe Zera, MD"
35,3/14/2016 14:30,3/14/2016 14:40,Afternoon,Questions and Discussion,
36,3/14/2016 14:40,3/14/2016 14:55,Afternoon,Coffee Break,
37,3/14/2016 14:55,3/14/2016 15:55,Afternoon,CLINICAL WORKSHOPS III,AddContent
38,3/14/2016 16:00,3/14/2016 17:00,Afternoon,CLINICAL WORKSHOPS IV,AddContent
39,3/15/2016 7:00,3/15/2016 7:55,Morning,Registration and Continental Breakfast with the Faculty,
40,3/15/2016 7:55,3/15/2016 8:00,Morning,Welcome,"Jon Einarsson, MD"
41,3/15/2016 8:00,3/15/2016 8:40,Minimally Invasive Gynecologic Surgery - Moderator: Dr. Einarsson,Strategies to Advance Laparoscopic Hysterectomy Skills,"Sarah Cohen, MD"
42,3/15/2016 8:40,3/15/2016 8:50,Minimally Invasive Gynecologic Surgery - Moderator: Dr. Einarsson,Questions and Discussion,
43,3/15/2016 8:50,3/15/2016 9:30,Minimally Invasive Gynecologic Surgery - Moderator: Dr. Einarsson,Operative Hysteroscopy,"James Robinson, MD"
44,3/15/2016 9:30,3/15/2016 9:40,Minimally Invasive Gynecologic Surgery - Moderator: Dr. Einarsson,Questions and Discussion,
45,3/15/2016 9:40,3/15/2016 10:00,Minimally Invasive Gynecologic Surgery - Moderator: Dr. Einarsson,Coffee Break,
46,3/15/2016 10:00,3/15/2016 10:40,Minimally Invasive Gynecologic Surgery - Moderator: Dr. Einarsson,Laparoscopic Treatment of Endometriosis,"Jon Einarsson, MD"
47,3/15/2016 10:40,3/15/2016 10:50,Minimally Invasive Gynecologic Surgery - Moderator: Dr. Einarsson,Questions and Discussion,
48,3/15/2016 10:50,3/15/2016 11:30,Urogynecology - Moderator: Dr. Minassian,Updates on Diagnosis and Conservative Treatment of Urinary Incontinence,"Jeannine Miranne, MD"
49,3/15/2016 11:30,3/15/2016 11:40,Urogynecology - Moderator: Dr. Minassian,Questions and Discussion,
50,3/15/2016 11:40,3/15/2016 13:00,Urogynecology - Moderator: Dr. Minassian,Lunch Break,
51,3/15/2016 13:00,3/15/2016 13:40,Urogynecology - Moderator: Dr. Minassian,The Current Evidence on Mid-Urethral Slings,"Robert Gutman, MD"
52,3/15/2016 13:40,3/15/2016 13:50,Urogynecology - Moderator: Dr. Minassian,Questions and Discussion,
53,3/15/2016 13:50,3/15/2016 14:30,Urogynecology - Moderator: Dr. Minassian,Traditional Non-Mesh Vaginal Surgery for Prolapse  ,"Vatche Minassian, MD"
54,3/15/2016 14:30,3/15/2016 14:40,Urogynecology - Moderator: Dr. Minassian,Questions and Discussion,
55,3/15/2016 14:40,3/15/2016 14:55,Urogynecology - Moderator: Dr. Minassian,Coffee Break,
56,3/15/2016 14:55,3/15/2016 15:55,Urogynecology - Moderator: Dr. Minassian,CLINICAL WORKSHOPS V,addcontent
57,3/15/2016 16:00,3/15/2016 17:00,Urogynecology - Moderator: Dr. Minassian,CLINICAL WORKSHOPS VI,addContent
58,3/16/2016 7:00,3/16/2016 7:55,Morning,Breakfast with the Faculty,
59,3/16/2016 7:55,3/16/2016 8:00,Morning,Welcome,"Michael Muto, MD"
60,3/16/2016 8:00,3/16/2016 8:40,Gynecologic Oncology - Moderator: Dr. Muto,Current Approach to the Early Detection of Breast Cancer,"Barbara Smith, MD"
61,3/16/2016 8:40,3/16/2016 8:50,Gynecologic Oncology - Moderator: Dr. Muto,Questions and Discussion,
62,3/16/2016 8:50,3/16/2016 9:30,Gynecologic Oncology - Moderator: Dr. Muto,Latest Developments in Gyn Pathology,"Christopher Crum, MD"
63,3/16/2016 9:30,3/16/2016 9:40,Gynecologic Oncology - Moderator: Dr. Muto,Questions and Discussion,
64,3/16/2016 9:40,3/16/2016 10:00,Gynecologic Oncology - Moderator: Dr. Muto,Coffee Break,
65,3/16/2016 10:00,3/16/2016 10:40,Gynecologic Oncology - Moderator: Dr. Muto,Current Management of Abnormal Pap Smears,"Sarah Feldman, MD"
66,3/16/2016 10:40,3/16/2016 10:50,Gynecologic Oncology - Moderator: Dr. Muto,Questions and Discussion,
67,3/16/2016 10:50,3/16/2016 11:30,Gynecologic Oncology - Moderator: Dr. Muto,Current Management of Cervical Cancer,"Neil Horowitz, MD"
68,3/16/2016 11:30,3/16/2016 11:40,Gynecologic Oncology - Moderator: Dr. Muto,Questions and Discussion,
69,3/16/2016 11:40,3/16/2016 13:00,Gynecologic Oncology - Moderator: Dr. Muto,Lunch Break,
70,3/16/2016 13:00,3/16/2016 13:40,Afternoon,What's New in Endometrial Cancer Management,"Michael Muto, MD"
71,3/16/2016 13:40,3/16/2016 13:50,Afternoon,Questions and Discussion,
72,3/16/2016 13:50,3/16/2016 14:30,Afternoon,Update in Ovarian Cancer Diagnosis and Treatment,"Peter Schwartz, MD"
73,3/16/2016 14:30,3/16/2016 14:40,Afternoon,Questions and Discussion,
74,3/16/2016 13:40,3/16/2016 14:55,Afternoon,Coffee Break,
